0,1,2,3,4
5.33,1.73,8.8,5.11,1.99
50.0,3.42,7.065,5.11,1.99
50.0,4.265000000000001,7.065,5.11,2.705
50.0,4.6875,7.065,5.11,3.4850000000000003
50.0,4.89875,7.065,5.11,4.08625
50.0,5.004375,7.065,5.11,4.4925
50.0,5.0571874999999995,7.065,5.11,4.7484375
50.0,5.08359375,7.065,5.11,4.9028125
50.0,5.096796875000001,7.065,5.11,4.993203125
50.0,5.103398437500001,7.065,5.11,5.045
50.0,5.10669921875,7.065,5.11,5.0741992187500005
50.0,5.108349609375001,7.065,5.11,5.090449218750001
50.0,5.1091748046875,7.065,5.11,5.099399414062501
50.0,5.109587402343751,7.065,5.11,5.104287109375001
50.0,5.109793701171876,7.065,5.11,5.106937255859376
50.0,5.109896850585939,7.065,5.11,5.108365478515626
50.0,5.10994842529297,7.065,5.11,5.109131164550782
50.0,5.109974212646485,7.065,5.11,5.109539794921876
50.0,5.109987106323242,7.065,5.11,5.10975700378418
50.0,5.109993553161621,7.065,5.11,5.109872055053711
50.0,5.109996776580811,7.065,5.11,5.109932804107666
50.0,5.109998388290405,7.065,5.11,5.109964790344239
50.0,5.109999194145203,7.065,5.11,5.1099815893173215
50.0,5.109999597072601,7.065,5.11,5.109990391731262
50.0,5.1099997985363,7.065,5.11,5.109994994401932
50.0,5.10999989926815,7.065,5.11,5.109997396469116
50.0,5.109999949634075,7.065,5.11,5.109998647868633
50.0,5.109999974817038,7.065,5.11,5.109999298751354
50.0,5.10999998740852,7.065,5.11,5.109999636784195
50.0,5.10999999370426,7.065,5.11,5.1099998120963575
50.0,5.10999999685213,7.065,5.11,5.109999902900309
50.0,5.109999998426066,7.065,5.11,5.10999994987622
50.0,5.1099999992130325,7.065,5.11,5.109999974151142
50.0,5.109999999606517,7.065,5.11,5.109999986682087
50.0,5.109999999803259,7.065,5.11,5.109999993144302
50.0,5.10999999990163,7.065,5.11,5.10999999647378
50.0,5.109999999950816,7.065,5.11,5.109999998187705
50.0,5.1099999999754075,7.065,5.11,5.10999999906926
50.0,5.1099999999877035,7.065,5.11,5.1099999995223335
50.0,5.1099999999938515,7.065,5.11,5.1099999997550185
50.0,5.109999999996926,7.065,5.11,5.109999999874435
50.0,5.109999999998463,7.065,5.11,5.109999999935681
50.0,5.109999999999232,7.065,5.11,5.109999999967072
50.0,5.109999999999616,7.065,5.11,5.1099999999831525
50.0,5.109999999999808,7.065,5.11,5.109999999991384
50.0,5.1099999999999035,7.065,5.11,5.109999999995596
50.0,5.1099999999999515,7.065,5.11,5.10999999999775
50.0,5.109999999999976,7.065,5.11,5.10999999999885
50.0,5.109999999999989,7.065,5.11,5.109999999999413
50.0,5.109999999999994,7.065,5.11,5.109999999999701
50.0,5.109999999999998,7.065,5.11,5.1099999999998476
50.0,5.109999999999999,7.065,5.11,5.109999999999923
50.0,5.109999999999999,7.065,5.11,5.109999999999961
50.0,5.109999999999999,7.065,5.11,5.10999999999998
